ENSMUSG00000064341	ENSHGLG00000000006
ENSMUSG00000033059	ENSHGLG00000000176
ENSMUSG00000037134	ENSHGLG00000000179
ENSMUSG00000031342	ENSHGLG00000000184
ENSMUSG00000046532	ENSHGLG00000000186
ENSMUSG00000030630	ENSHGLG00000000189
ENSMUSG00000000605	ENSHGLG00000000190
ENSMUSG00000018589	ENSHGLG00000000192
ENSMUSG00000033068	ENSHGLG00000000193
ENSMUSG00000050473	ENSHGLG00000000195
ENSMUSG00000025888	ENSHGLG00000000196
ENSMUSG00000031683	ENSHGLG00000000205
ENSMUSG00000015217	ENSHGLG00000000206
ENSMUSG00000033434	ENSHGLG00000000207
ENSMUSG00000033080	ENSHGLG00000000209
ENSMUSG00000044819	ENSHGLG00000000211
ENSMUSG00000033152	ENSHGLG00000000212
ENSMUSG00000028800	ENSHGLG00000000219
ENSMUSG00000019822	ENSHGLG00000000226
ENSMUSG00000020003	ENSHGLG00000000229
ENSMUSG00000109561	ENSHGLG00000000230
ENSMUSG00000053909	ENSHGLG00000000231
ENSMUSG00000027452	ENSHGLG00000000232
ENSMUSG00000014158	ENSHGLG00000000233
ENSMUSG00000030310	ENSHGLG00000000235
ENSMUSG00000025272	ENSHGLG00000000236
ENSMUSG00000059689	ENSHGLG00000000239
ENSMUSG00000030083	ENSHGLG00000000240
ENSMUSG00000045871	ENSHGLG00000000248
ENSMUSG00000038141	ENSHGLG00000000252
ENSMUSG00000050730	ENSHGLG00000000253
ENSMUSG00000031344	ENSHGLG00000000255
ENSMUSG00000025271	ENSHGLG00000000258
ENSMUSG00000024713	ENSHGLG00000000259
ENSMUSG00000003528	ENSHGLG00000000262
ENSMUSG00000033174	ENSHGLG00000000266
ENSMUSG00000034755	ENSHGLG00000000267
ENSMUSG00000029273	ENSHGLG00000000269
ENSMUSG00000021670	ENSHGLG00000000270
ENSMUSG00000025269	ENSHGLG00000000273
ENSMUSG00000029288	ENSHGLG00000000274
ENSMUSG00000027750	ENSHGLG00000000277
ENSMUSG00000056380	ENSHGLG00000000278
ENSMUSG00000047044	ENSHGLG00000000280
ENSMUSG00000070877	ENSHGLG00000000282
ENSMUSG00000028233	ENSHGLG00000000284
ENSMUSG00000045312	ENSHGLG00000000285
ENSMUSG00000025270	ENSHGLG00000000286
ENSMUSG00000034377	ENSHGLG00000000287
ENSMUSG00000022760	ENSHGLG00000000288
ENSMUSG00000033182	ENSHGLG00000000289
ENSMUSG00000040420	ENSHGLG00000000292
ENSMUSG00000021669	ENSHGLG00000000294
ENSMUSG00000028232	ENSHGLG00000000295
ENSMUSG00000090061	ENSHGLG00000000298
ENSMUSG00000019892	ENSHGLG00000000302
ENSMUSG00000034557	ENSHGLG00000000303
ENSMUSG00000036167	ENSHGLG00000000304
ENSMUSG00000020444	ENSHGLG00000000309
ENSMUSG00000053916	ENSHGLG00000000310
ENSMUSG00000031684	ENSHGLG00000000312
ENSMUSG00000041658	ENSHGLG00000000313
ENSMUSG00000059401	ENSHGLG00000000314
ENSMUSG00000041817	ENSHGLG00000000315
ENSMUSG00000019558	ENSHGLG00000000318
ENSMUSG00000000402	ENSHGLG00000000319
ENSMUSG00000036019	ENSHGLG00000000320
ENSMUSG00000031220	ENSHGLG00000000321
ENSMUSG00000019823	ENSHGLG00000000326
ENSMUSG00000049090	ENSHGLG00000000327
ENSMUSG00000019845	ENSHGLG00000000329
ENSMUSG00000027748	ENSHGLG00000000330
ENSMUSG00000052485	ENSHGLG00000000331
ENSMUSG00000061353	ENSHGLG00000000333
ENSMUSG00000073514	ENSHGLG00000000334
ENSMUSG00000062074	ENSHGLG00000000336
ENSMUSG00000031461	ENSHGLG00000000341
ENSMUSG00000068115	ENSHGLG00000000342
ENSMUSG00000093806	ENSHGLG00000000347
ENSMUSG00000030307	ENSHGLG00000000350
ENSMUSG00000032306	ENSHGLG00000000351
ENSMUSG00000090236	ENSHGLG00000000354
ENSMUSG00000039842	ENSHGLG00000000355
ENSMUSG00000059327	ENSHGLG00000000357
ENSMUSG00000060512	ENSHGLG00000000359
ENSMUSG00000022130	ENSHGLG00000000360
ENSMUSG00000026761	ENSHGLG00000000361
ENSMUSG00000040455	ENSHGLG00000000362
ENSMUSG00000020009	ENSHGLG00000000371
ENSMUSG00000021635	ENSHGLG00000000374
ENSMUSG00000036062	ENSHGLG00000000375
ENSMUSG00000024726	ENSHGLG00000000378
ENSMUSG00000015214	ENSHGLG00000000382
ENSMUSG00000003411	ENSHGLG00000000384
ENSMUSG00000071019	ENSHGLG00000000385
ENSMUSG00000071719	ENSHGLG00000000386
ENSMUSG00000037022	ENSHGLG00000000393
ENSMUSG00000034403	ENSHGLG00000000394
ENSMUSG00000028707	ENSHGLG00000000395
ENSMUSG00000037016	ENSHGLG00000000398
ENSMUSG00000043003	ENSHGLG00000000399
ENSMUSG00000024659	ENSHGLG00000000400
ENSMUSG00000045215	ENSHGLG00000000401
ENSMUSG00000020571	ENSHGLG00000000403
ENSMUSG00000029272	ENSHGLG00000000404
ENSMUSG00000072623	ENSHGLG00000000406
ENSMUSG00000050471	ENSHGLG00000000409
ENSMUSG00000048376	ENSHGLG00000000412
ENSMUSG00000032733	ENSHGLG00000000415
ENSMUSG00000047675	ENSHGLG00000000416
ENSMUSG00000031217	ENSHGLG00000000418
ENSMUSG00000021666	ENSHGLG00000000419
ENSMUSG00000024644	ENSHGLG00000000420
ENSMUSG00000056073	ENSHGLG00000000421
ENSMUSG00000027996	ENSHGLG00000000424
ENSMUSG00000036676	ENSHGLG00000000427
ENSMUSG00000034295	ENSHGLG00000000428
ENSMUSG00000053825	ENSHGLG00000000429
ENSMUSG00000020642	ENSHGLG00000000432
ENSMUSG00000030145	ENSHGLG00000000433
ENSMUSG00000022738	ENSHGLG00000000434
ENSMUSG00000047881	ENSHGLG00000000435
ENSMUSG00000020593	ENSHGLG00000000436
ENSMUSG00000027744	ENSHGLG00000000438
ENSMUSG00000032002	ENSHGLG00000000439
ENSMUSG00000053819	ENSHGLG00000000440
ENSMUSG00000002010	ENSHGLG00000000443
ENSMUSG00000039714	ENSHGLG00000000444
ENSMUSG00000020641	ENSHGLG00000000447
ENSMUSG00000043463	ENSHGLG00000000448
ENSMUSG00000037013	ENSHGLG00000000449
ENSMUSG00000031216	ENSHGLG00000000450
ENSMUSG00000032298	ENSHGLG00000000453
ENSMUSG00000021681	ENSHGLG00000000455
ENSMUSG00000045237	ENSHGLG00000000459
ENSMUSG00000046410	ENSHGLG00000000460
ENSMUSG00000078365	ENSHGLG00000000462
ENSMUSG00000049504	ENSHGLG00000000463
ENSMUSG00000032305	ENSHGLG00000000464
ENSMUSG00000031352	ENSHGLG00000000466
ENSMUSG00000032285	ENSHGLG00000000467
ENSMUSG00000043659	ENSHGLG00000000468
ENSMUSG00000048410	ENSHGLG00000000471
ENSMUSG00000036053	ENSHGLG00000000472
ENSMUSG00000076432	ENSHGLG00000000473
ENSMUSG00000030314	ENSHGLG00000000474
ENSMUSG00000030138	ENSHGLG00000000477
ENSMUSG00000049721	ENSHGLG00000000478
ENSMUSG00000056895	ENSHGLG00000000479
ENSMUSG00000073771	ENSHGLG00000000480
ENSMUSG00000028567	ENSHGLG00000000481
ENSMUSG00000048047	ENSHGLG00000000484
ENSMUSG00000028546	ENSHGLG00000000485
ENSMUSG00000024712	ENSHGLG00000000486
ENSMUSG00000015405	ENSHGLG00000000490
ENSMUSG00000031425	ENSHGLG00000000492
ENSMUSG00000028010	ENSHGLG00000000493
ENSMUSG00000051111	ENSHGLG00000000494
ENSMUSG00000043067	ENSHGLG00000000498
ENSMUSG00000064325	ENSHGLG00000000499
ENSMUSG00000048875	ENSHGLG00000000501
ENSMUSG00000052593	ENSHGLG00000000502
ENSMUSG00000014245	ENSHGLG00000000503
ENSMUSG00000030110	ENSHGLG00000000505
ENSMUSG00000019848	ENSHGLG00000000506
ENSMUSG00000060924	ENSHGLG00000000508
ENSMUSG00000048924	ENSHGLG00000000509
ENSMUSG00000012076	ENSHGLG00000000511
ENSMUSG00000062054	ENSHGLG00000000512
ENSMUSG00000042997	ENSHGLG00000000513
ENSMUSG00000020580	ENSHGLG00000000514
ENSMUSG00000020638	ENSHGLG00000000515
ENSMUSG00000019977	ENSHGLG00000000516
ENSMUSG00000028454	ENSHGLG00000000517
ENSMUSG00000034037	ENSHGLG00000000519
ENSMUSG00000021024	ENSHGLG00000000520
ENSMUSG00000028246	ENSHGLG00000000521
ENSMUSG00000038843	ENSHGLG00000000522
ENSMUSG00000047694	ENSHGLG00000000523
ENSMUSG00000019849	ENSHGLG00000000526
ENSMUSG00000021665	ENSHGLG00000000527
ENSMUSG00000001924	ENSHGLG00000000529
ENSMUSG00000051000	ENSHGLG00000000533
ENSMUSG00000042148	ENSHGLG00000000535
ENSMUSG00000055334	ENSHGLG00000000536
ENSMUSG00000021636	ENSHGLG00000000537
ENSMUSG00000010517	ENSHGLG00000000538
ENSMUSG00000071379	ENSHGLG00000000540
ENSMUSG00000028167	ENSHGLG00000000542
ENSMUSG00000031299	ENSHGLG00000000543
ENSMUSG00000059493	ENSHGLG00000000544
ENSMUSG00000025701	ENSHGLG00000000545
ENSMUSG00000053070	ENSHGLG00000000548
ENSMUSG00000019992	ENSHGLG00000000549
ENSMUSG00000070407	ENSHGLG00000000551
ENSMUSG00000041773	ENSHGLG00000000552
ENSMUSG00000028236	ENSHGLG00000000555
ENSMUSG00000034063	ENSHGLG00000000556
ENSMUSG00000032329	ENSHGLG00000000560
ENSMUSG00000073774	ENSHGLG00000000562
ENSMUSG00000071984	ENSHGLG00000000564
ENSMUSG00000074212	ENSHGLG00000000566
ENSMUSG00000035776	ENSHGLG00000000568
ENSMUSG00000021647	ENSHGLG00000000571
ENSMUSG00000046230	ENSHGLG00000000572
ENSMUSG00000078317	ENSHGLG00000000573
ENSMUSG00000040410	ENSHGLG00000000574
ENSMUSG00000022139	ENSHGLG00000000575
ENSMUSG00000000838	ENSHGLG00000000576
ENSMUSG00000028597	ENSHGLG00000000577
ENSMUSG00000038332	ENSHGLG00000000578
ENSMUSG00000060090	ENSHGLG00000000580
ENSMUSG00000018595	ENSHGLG00000000582
ENSMUSG00000031204	ENSHGLG00000000583
ENSMUSG00000031303	ENSHGLG00000000584
ENSMUSG00000034083	ENSHGLG00000000585
ENSMUSG00000042082	ENSHGLG00000000586
ENSMUSG00000032281	ENSHGLG00000000587
ENSMUSG00000036792	ENSHGLG00000000588
ENSMUSG00000032854	ENSHGLG00000000589
ENSMUSG00000018217	ENSHGLG00000000591
ENSMUSG00000031422	ENSHGLG00000000592
ENSMUSG00000047747	ENSHGLG00000000594
ENSMUSG00000028677	ENSHGLG00000000598
ENSMUSG00000028701	ENSHGLG00000000601
ENSMUSG00000021662	ENSHGLG00000000602
ENSMUSG00000022758	ENSHGLG00000000605
ENSMUSG00000028080	ENSHGLG00000000609
ENSMUSG00000036502	ENSHGLG00000000612
ENSMUSG00000046311	ENSHGLG00000000614
ENSMUSG00000037315	ENSHGLG00000000616
ENSMUSG00000046922	ENSHGLG00000000618
ENSMUSG00000061887	ENSHGLG00000000619
ENSMUSG00000030098	ENSHGLG00000000621
ENSMUSG00000035451	ENSHGLG00000000622
ENSMUSG00000031382	ENSHGLG00000000624
ENSMUSG00000031264	ENSHGLG00000000626
ENSMUSG00000033767	ENSHGLG00000000627
ENSMUSG00000030055	ENSHGLG00000000628
ENSMUSG00000031402	ENSHGLG00000000629
ENSMUSG00000031189	ENSHGLG00000000634
ENSMUSG00000034006	ENSHGLG00000000637
ENSMUSG00000040729	ENSHGLG00000000639
ENSMUSG00000030096	ENSHGLG00000000641
ENSMUSG00000031376	ENSHGLG00000000642
ENSMUSG00000035969	ENSHGLG00000000643
ENSMUSG00000025702	ENSHGLG00000000644
ENSMUSG00000042189	ENSHGLG00000000646
ENSMUSG00000046782	ENSHGLG00000000647
ENSMUSG00000041258	ENSHGLG00000000648
ENSMUSG00000031403	ENSHGLG00000000649
ENSMUSG00000022761	ENSHGLG00000000653
ENSMUSG00000020720	ENSHGLG00000000655
ENSMUSG00000022112	ENSHGLG00000000656
ENSMUSG00000069706	ENSHGLG00000000657
ENSMUSG00000044365	ENSHGLG00000000660
ENSMUSG00000044221	ENSHGLG00000000661
ENSMUSG00000039480	ENSHGLG00000000664
ENSMUSG00000041220	ENSHGLG00000000665
ENSMUSG00000054309	ENSHGLG00000000666
ENSMUSG00000039126	ENSHGLG00000000667
ENSMUSG00000030094	ENSHGLG00000000668
ENSMUSG00000027978	ENSHGLG00000000672
ENSMUSG00000025246	ENSHGLG00000000673
ENSMUSG00000023070	ENSHGLG00000000674
ENSMUSG00000034762	ENSHGLG00000000675
ENSMUSG00000069662	ENSHGLG00000000676
ENSMUSG00000046432	ENSHGLG00000000677
ENSMUSG00000049624	ENSHGLG00000000678
ENSMUSG00000031997	ENSHGLG00000000680
ENSMUSG00000031757	ENSHGLG00000000681
ENSMUSG00000063632	ENSHGLG00000000682
ENSMUSG00000016327	ENSHGLG00000000683
ENSMUSG00000030095	ENSHGLG00000000684
ENSMUSG00000027965	ENSHGLG00000000685
ENSMUSG00000031760	ENSHGLG00000000686
ENSMUSG00000042712	ENSHGLG00000000687
ENSMUSG00000032295	ENSHGLG00000000690
ENSMUSG00000027999	ENSHGLG00000000692
ENSMUSG00000025333	ENSHGLG00000000693
ENSMUSG00000036192	ENSHGLG00000000695
ENSMUSG00000029286	ENSHGLG00000000696
ENSMUSG00000049791	ENSHGLG00000000698
ENSMUSG00000032750	ENSHGLG00000000701
ENSMUSG00000046082	ENSHGLG00000000703
ENSMUSG00000015401	ENSHGLG00000000704
ENSMUSG00000056271	ENSHGLG00000000706
ENSMUSG00000002015	ENSHGLG00000000710
ENSMUSG00000039405	ENSHGLG00000000711
ENSMUSG00000021950	ENSHGLG00000000712
ENSMUSG00000058881	ENSHGLG00000000714
ENSMUSG00000038481	ENSHGLG00000000716
ENSMUSG00000049717	ENSHGLG00000000718
ENSMUSG00000031688	ENSHGLG00000000719
ENSMUSG00000056912	ENSHGLG00000000721
ENSMUSG00000021010	ENSHGLG00000000723
ENSMUSG00000051579	ENSHGLG00000000724
ENSMUSG00000031711	ENSHGLG00000000725
ENSMUSG00000061527	ENSHGLG00000000726
ENSMUSG00000025602	ENSHGLG00000000728
ENSMUSG00000027997	ENSHGLG00000000729
ENSMUSG00000030562	ENSHGLG00000000730
ENSMUSG00000020721	ENSHGLG00000000732
ENSMUSG00000042389	ENSHGLG00000000740
ENSMUSG00000030156	ENSHGLG00000000741
ENSMUSG00000028617	ENSHGLG00000000742
ENSMUSG00000041747	ENSHGLG00000000745
ENSMUSG00000016534	ENSHGLG00000000747
ENSMUSG00000032101	ENSHGLG00000000748
ENSMUSG00000046561	ENSHGLG00000000752
ENSMUSG00000028702	ENSHGLG00000000753
ENSMUSG00000001127	ENSHGLG00000000754
ENSMUSG00000025332	ENSHGLG00000000756
ENSMUSG00000079157	ENSHGLG00000000757
ENSMUSG00000041923	ENSHGLG00000000759
ENSMUSG00000041229	ENSHGLG00000000760
ENSMUSG00000066324	ENSHGLG00000000762
ENSMUSG00000033860	ENSHGLG00000000766
ENSMUSG00000018501	ENSHGLG00000000767
ENSMUSG00000057315	ENSHGLG00000000768
ENSMUSG00000021843	ENSHGLG00000000769
ENSMUSG00000028683	ENSHGLG00000000770
ENSMUSG00000021661	ENSHGLG00000000772
ENSMUSG00000022883	ENSHGLG00000000774
ENSMUSG00000000440	ENSHGLG00000000775
ENSMUSG00000021772	ENSHGLG00000000776
ENSMUSG00000044583	ENSHGLG00000000777
ENSMUSG00000031996	ENSHGLG00000000778
ENSMUSG00000037217	ENSHGLG00000000779
ENSMUSG00000034028	ENSHGLG00000000780
ENSMUSG00000047228	ENSHGLG00000000782
ENSMUSG00000032293	ENSHGLG00000000783
ENSMUSG00000050321	ENSHGLG00000000784
ENSMUSG00000001300	ENSHGLG00000000786
ENSMUSG00000020722	ENSHGLG00000000787
ENSMUSG00000032911	ENSHGLG00000000788
ENSMUSG00000041737	ENSHGLG00000000789
ENSMUSG00000028601	ENSHGLG00000000790
ENSMUSG00000032667	ENSHGLG00000000791
ENSMUSG00000055531	ENSHGLG00000000792
ENSMUSG00000027984	ENSHGLG00000000793
ENSMUSG00000001131	ENSHGLG00000000794
ENSMUSG00000020723	ENSHGLG00000000797
ENSMUSG00000059852	ENSHGLG00000000798
ENSMUSG00000063681	ENSHGLG00000000799
ENSMUSG00000037149	ENSHGLG00000000801
ENSMUSG00000034610	ENSHGLG00000000804
ENSMUSG00000031093	ENSHGLG00000000806
ENSMUSG00000001964	ENSHGLG00000000807
ENSMUSG00000009394	ENSHGLG00000000808
ENSMUSG00000032308	ENSHGLG00000000809
ENSMUSG00000021704	ENSHGLG00000000810
ENSMUSG00000031343	ENSHGLG00000000811
ENSMUSG00000037260	ENSHGLG00000000813
ENSMUSG00000049775	ENSHGLG00000000815
ENSMUSG00000042607	ENSHGLG00000000818
ENSMUSG00000028708	ENSHGLG00000000820
ENSMUSG00000023073	ENSHGLG00000000823
ENSMUSG00000024565	ENSHGLG00000000824
ENSMUSG00000024273	ENSHGLG00000000825
ENSMUSG00000052726	ENSHGLG00000000827
ENSMUSG00000027966	ENSHGLG00000000829
ENSMUSG00000040373	ENSHGLG00000000830
ENSMUSG00000020183	ENSHGLG00000000831
ENSMUSG00000031380	ENSHGLG00000000833
ENSMUSG00000019577	ENSHGLG00000000834
ENSMUSG00000040478	ENSHGLG00000000835
ENSMUSG00000042102	ENSHGLG00000000837
ENSMUSG00000028582	ENSHGLG00000000840
ENSMUSG00000018326	ENSHGLG00000000841
ENSMUSG00000071369	ENSHGLG00000000842
ENSMUSG00000061397	ENSHGLG00000000843
ENSMUSG00000046828	ENSHGLG00000000844
ENSMUSG00000062198	ENSHGLG00000000845
ENSMUSG00000030317	ENSHGLG00000000848
ENSMUSG00000064201	ENSHGLG00000000849
ENSMUSG00000038451	ENSHGLG00000000850
ENSMUSG00000056162	ENSHGLG00000000854
ENSMUSG00000031389	ENSHGLG00000000857
ENSMUSG00000026048	ENSHGLG00000000858
ENSMUSG00000019779	ENSHGLG00000000859
ENSMUSG00000031230	ENSHGLG00000000860
ENSMUSG00000037251	ENSHGLG00000000861
ENSMUSG00000019838	ENSHGLG00000000862
ENSMUSG00000019878	ENSHGLG00000000864
ENSMUSG00000021919	ENSHGLG00000000867
ENSMUSG00000031242	ENSHGLG00000000868
ENSMUSG00000021779	ENSHGLG00000000869
ENSMUSG00000037940	ENSHGLG00000000870
ENSMUSG00000030111	ENSHGLG00000000871
ENSMUSG00000050965	ENSHGLG00000000872
ENSMUSG00000030125	ENSHGLG00000000873
ENSMUSG00000029366	ENSHGLG00000000874
ENSMUSG00000032279	ENSHGLG00000000875
ENSMUSG00000037542	ENSHGLG00000000876
ENSMUSG00000028001	ENSHGLG00000000879
ENSMUSG00000036333	ENSHGLG00000000883
ENSMUSG00000020576	ENSHGLG00000000885
ENSMUSG00000031616	ENSHGLG00000000886
ENSMUSG00000060181	ENSHGLG00000000887
ENSMUSG00000031060	ENSHGLG00000000890
ENSMUSG00000058952	ENSHGLG00000000891
ENSMUSG00000028610	ENSHGLG00000000892
ENSMUSG00000041684	ENSHGLG00000000893
ENSMUSG00000032320	ENSHGLG00000000894
ENSMUSG00000027809	ENSHGLG00000000895
ENSMUSG00000020193	ENSHGLG00000000898
ENSMUSG00000031393	ENSHGLG00000000899
ENSMUSG00000046709	ENSHGLG00000000901
ENSMUSG00000001128	ENSHGLG00000000905
ENSMUSG00000022836	ENSHGLG00000000906
ENSMUSG00000031349	ENSHGLG00000000907
ENSMUSG00000004267	ENSHGLG00000000908
ENSMUSG00000019970	ENSHGLG00000000909
ENSMUSG00000036523	ENSHGLG00000000910
ENSMUSG00000027983	ENSHGLG00000000911
ENSMUSG00000091243	ENSHGLG00000000912
ENSMUSG00000032006	ENSHGLG00000000913
ENSMUSG00000033323	ENSHGLG00000000916
ENSMUSG00000000049	ENSHGLG00000000917
ENSMUSG00000050463	ENSHGLG00000000919
ENSMUSG00000030062	ENSHGLG00000000920
ENSMUSG00000030114	ENSHGLG00000000921
ENSMUSG00000041649	ENSHGLG00000000922
ENSMUSG00000054051	ENSHGLG00000000923
ENSMUSG00000029757	ENSHGLG00000000924
ENSMUSG00000009640	ENSHGLG00000000925
ENSMUSG00000052798	ENSHGLG00000000927
ENSMUSG00000063882	ENSHGLG00000000928
ENSMUSG00000022759	ENSHGLG00000000929
ENSMUSG00000055022	ENSHGLG00000000930
ENSMUSG00000032332	ENSHGLG00000000933
ENSMUSG00000056498	ENSHGLG00000000936
ENSMUSG00000036602	ENSHGLG00000000937
ENSMUSG00000037994	ENSHGLG00000000938
ENSMUSG00000026047	ENSHGLG00000000939
ENSMUSG00000040387	ENSHGLG00000000940
ENSMUSG00000019990	ENSHGLG00000000941
ENSMUSG00000032291	ENSHGLG00000000944
ENSMUSG00000001134	ENSHGLG00000000945
ENSMUSG00000007458	ENSHGLG00000000946
ENSMUSG00000042198	ENSHGLG00000000947
ENSMUSG00000046186	ENSHGLG00000000949
ENSMUSG00000037490	ENSHGLG00000000953
ENSMUSG00000004843	ENSHGLG00000000954
ENSMUSG00000000355	ENSHGLG00000000956
ENSMUSG00000019837	ENSHGLG00000000957
ENSMUSG00000020704	ENSHGLG00000000958
ENSMUSG00000044921	ENSHGLG00000000960
ENSMUSG00000049281	ENSHGLG00000000963
ENSMUSG00000019894	ENSHGLG00000000965
ENSMUSG00000071359	ENSHGLG00000000968
ENSMUSG00000099294	ENSHGLG00000000971
ENSMUSG00000026049	ENSHGLG00000000973
ENSMUSG00000052632	ENSHGLG00000000974
ENSMUSG00000027994	ENSHGLG00000000975
ENSMUSG00000020646	ENSHGLG00000000976
ENSMUSG00000072772	ENSHGLG00000000977
ENSMUSG00000060284	ENSHGLG00000000980
ENSMUSG00000041730	ENSHGLG00000000981
ENSMUSG00000045954	ENSHGLG00000000984
ENSMUSG00000028681	ENSHGLG00000000986
ENSMUSG00000031712	ENSHGLG00000000987
ENSMUSG00000052727	ENSHGLG00000000988
ENSMUSG00000045328	ENSHGLG00000000989
ENSMUSG00000031202	ENSHGLG00000000990
ENSMUSG00000047343	ENSHGLG00000000993
ENSMUSG00000017491	ENSHGLG00000000994
ENSMUSG00000019996	ENSHGLG00000000995
ENSMUSG00000045680	ENSHGLG00000000996
ENSMUSG00000030347	ENSHGLG00000000998
ENSMUSG00000051879	ENSHGLG00000000999
ENSMUSG00000031378	ENSHGLG00000001000
ENSMUSG00000004842	ENSHGLG00000001001
ENSMUSG00000035385	ENSHGLG00000001002
ENSMUSG00000022833	ENSHGLG00000001004
ENSMUSG00000031158	ENSHGLG00000001006
ENSMUSG00000031709	ENSHGLG00000001009
ENSMUSG00000033965	ENSHGLG00000001010
ENSMUSG00000031290	ENSHGLG00000001011
ENSMUSG00000034645	ENSHGLG00000001013
ENSMUSG00000061175	ENSHGLG00000001014
ENSMUSG00000020676	ENSHGLG00000001015
ENSMUSG00000042225	ENSHGLG00000001016
ENSMUSG00000061809	ENSHGLG00000001017
ENSMUSG00000028690	ENSHGLG00000001020
ENSMUSG00000050666	ENSHGLG00000001022
ENSMUSG00000028280	ENSHGLG00000001027
ENSMUSG00000022832	ENSHGLG00000001029
ENSMUSG00000033423	ENSHGLG00000001031
ENSMUSG00000030346	ENSHGLG00000001032
ENSMUSG00000028587	ENSHGLG00000001033
ENSMUSG00000004266	ENSHGLG00000001036
ENSMUSG00000041763	ENSHGLG00000001039
ENSMUSG00000047193	ENSHGLG00000001041
ENSMUSG00000028551	ENSHGLG00000001042
ENSMUSG00000069089	ENSHGLG00000001043
ENSMUSG00000030621	ENSHGLG00000001044
ENSMUSG00000063760	ENSHGLG00000001047
ENSMUSG00000019966	ENSHGLG00000001048
ENSMUSG00000041115	ENSHGLG00000001050
ENSMUSG00000039361	ENSHGLG00000001052
ENSMUSG00000033096	ENSHGLG00000001053
ENSMUSG00000004651	ENSHGLG00000001054
ENSMUSG00000031293	ENSHGLG00000001057
ENSMUSG00000044150	ENSHGLG00000001058
ENSMUSG00000027977	ENSHGLG00000001063
ENSMUSG00000020566	ENSHGLG00000001064
ENSMUSG00000030344	ENSHGLG00000001070
ENSMUSG00000008305	ENSHGLG00000001072
ENSMUSG00000068129	ENSHGLG00000001075
ENSMUSG00000022722	ENSHGLG00000001077
ENSMUSG00000015112	ENSHGLG00000001078
ENSMUSG00000056234	ENSHGLG00000001082
ENSMUSG00000032311	ENSHGLG00000001083
ENSMUSG00000047045	ENSHGLG00000001084
ENSMUSG00000054659	ENSHGLG00000001085
ENSMUSG00000032253	ENSHGLG00000001086
ENSMUSG00000054162	ENSHGLG00000001090
ENSMUSG00000000399	ENSHGLG00000001093
ENSMUSG00000062797	ENSHGLG00000001095
ENSMUSG00000049658	ENSHGLG00000001096
ENSMUSG00000020701	ENSHGLG00000001097
ENSMUSG00000033214	ENSHGLG00000001098
ENSMUSG00000031241	ENSHGLG00000001099
